Year,Change
2008,21.11000
2008,20.93000
2008,20.11000
2008,25.52000
2008,25.45000
2008,23.19000
2008,21.89000
2008,23.62000
2008,24.64000
2008,24.44000
2008,22.59000
2008,21.76000
2008,21.42000
2008,19.76000
2008,22.25000
2008,20.82000
2008,18.59000
2008,20.71000
2008,21.13000
2008,19.55000
2008,20.93000
2008,22.76000
2008,21.69000
2008,23.87000
2008,21.32000
2008,21.71000
2008,24.71000
2008,24.14000
2008,27.13000
2008,27.54000
2008,22.64000
2008,21.23000
2008,20.86000
2009,23.11000
2009,24.01000
2009,23.62000
2009,23.52000
2009,22.43000
2009,20.13000
2009,20.64000
2009,22.09000
2009,23.82000
2009,23.33000
2009,27.17000
2009,24.29000
2009,27.77000
2009,24.88000
2009,27.29000
2009,24.96000
2009,26.24000
2009,24.32000
2009,23.87000
2009,25.09000
2009,26.09000
2009,25.24000
2009,28.10000
2009,24.76000
2009,24.29000
2009,23.93000
2009,24.45000
2009,23.48000
2009,24.12000
2009,25.49000
2009,27.97000
2009,26.11000
2009,25.17000
2009,24.32000
2009,24.96000
2009,22.38000
2009,24.94000
2009,23.83000
2009,28.09000
2009,27.36000
2009,27.34000
2009,24.14000
2009,25.41000
2009,25.11000
2009,24.69000
2009,25.27000
2009,26.82000
2009,25.89000
2009,29.57000
2009,28.76000
2009,24.09000
2009,28.04000
2009,29.66000
2009,27.31000
2009,28.38000
2009,28.40000
2009,27.64000
2009,28.83000
2009,30.16000
2009,28.49000
2009,26.64000
2009,25.06000
2009,27.37000
2009,27.69000
2009,28.18000
2009,26.80000
2009,27.72000
2009,24.94000
2009,28.40000
2009,29.73000
2009,28.25000
2010,26.59000
2010,29.58000
2010,26.07000
2010,26.73000
2010,25.13000
2010,22.74000
2010,21.46000
2010,24.78000
2010,25.63000
2010,28.84000
2010,27.97000
2010,31.11000
2010,31.59000
2010,30.53000
2010,25.34000
2010,26.32000
2010,25.93000
2010,26.52000
2010,25.70000
2010,26.16000
2010,28.47000
2010,31.59000
2010,28.73000
2010,29.01000
2010,25.98000
2010,27.72000
2010,26.20000
2010,29.11000
2010,30.44000
2010,27.45000
2010,30.38000
2010,28.41000
2010,30.46000
2010,30.24000
2010,30.85000
2010,28.70000
2010,30.41000
2010,27.26000
2010,30.04000
2010,28.89000
2010,30.45000
2010,28.95000
2010,28.45000
2010,28.83000
2010,26.71000
2010,31.28000
2010,27.77000
2010,27.74000
2010,23.94000
2010,25.79000
